,EVs Charging,EVs Activated,EVs Travelling,EVs Queued,EVs Charge Level,EVs Currently charging,EVs Not Idle,EOD Battery SOC,EVs Destinations,EVs at Charging Station - F,EVs at Charging Station - S,Length of Queue 1 at Charging Stations,Length of Queue 2 at Charging Stations
0,0,50,50,0,"[62.0, 37.0, 43.0, 41.0, 51.0, 49.0, 43.0, 60.0, 44.0, 59.0, 49.0, 38.0, 54.0, 35.0, 52.0, 56.0, 64.0, 57.0, 58.0, 39.0, 50.0, 47.0, 49.0, 61.0, 31.0, 41.0, 44.0, 49.0, 37.0, 41.0, 57.0, 55.0, 48.0, 56.0, 56.0, 59.0, 33.0, 38.0, 49.0, 37.0, 39.0, 55.0, 68.0, 51.0, 61.0, 47.0, 52.0, 46.0, 55.0, 47.0]",0,50,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
1,0,50,50,0,"[60.0, 27.0, 33.0, 31.0, 49.0, 39.0, 33.0, 58.0, 42.0, 57.0, 47.0, 28.0, 52.0, 25.0, 42.0, 54.0, 62.0, 47.0, 48.0, 37.0, 48.0, 45.0, 39.0, 59.0, 21.0, 39.0, 34.0, 39.0, 27.0, 39.0, 47.0, 53.0, 46.0, 54.0, 54.0, 57.0, 23.0, 36.0, 39.0, 27.0, 37.0, 53.0, 66.0, 41.0, 59.0, 45.0, 50.0, 44.0, 45.0, 37.0]",0,50,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
2,0,50,50,0,"[58.0, 17.0, 23.0, 21.0, 47.0, 29.0, 23.0, 56.0, 40.0, 55.0, 45.0, 18.0, 50.0, 15.0, 32.0, 52.0, 60.0, 37.0, 38.0, 35.0, 46.0, 43.0, 29.0, 57.0, 11.0, 37.0, 24.0, 29.0, 17.0, 37.0, 37.0, 51.0, 44.0, 52.0, 52.0, 55.0, 13.0, 34.0, 29.0, 17.0, 35.0, 51.0, 64.0, 31.0, 57.0, 43.0, 48.0, 42.0, 35.0, 27.0]",0,50,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3,1,50,43,6,"[56.0, 14.5, 13.0, 11.0, 45.0, 19.0, 13.0, 54.0, 38.0, 53.0, 43.0, 15.5, 48.0, 5.0, 22.0, 50.0, 58.0, 27.0, 28.0, 33.0, 44.0, 41.0, 19.0, 55.0, 1.0, 35.0, 14.0, 19.0, 7.0, 35.0, 27.0, 49.0, 42.0, 50.0, 50.0, 53.0, 3.0, 32.0, 19.0, 7.0, 33.0, 49.0, 62.0, 21.0, 55.0, 41.0, 46.0, 40.0, 25.0, 17.0]",0,50,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",7,7,"[0, 3, 0, 0, 0]","[0, 2, 0, 0, 0]"
4,1,50,21,6,"[54.0, 22.0, 3.0, 1.0, 43.0, 9.0, 3.0, 52.0, 36.0, 51.0, 41.0, 23.0, 46.0, 5.0, 12.0, 48.0, 56.0, 17.0, 18.0, 31.0, 42.0, 39.0, 9.0, 53.0, 1.0, 33.0, 4.0, 9.0, 7.0, 33.0, 17.0, 47.0, 40.0, 48.0, 48.0, 51.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 60.0, 11.0, 53.0, 39.0, 44.0, 38.0, 15.0, 7.0]",0,37,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",7,7,"[0, 3, 0, 0, 0]","[0, 2, 0, 0, 0]"
5,2,50,15,11,"[52.0, 29.5, 3.0, 1.0, 43.0, 9.0, 3.0, 50.0, 36.0, 51.0, 39.0, 30.5, 46.0, 5.0, 9.5, 46.0, 54.0, 14.5, 8.0, 31.0, 40.0, 37.0, 9.0, 51.0, 1.0, 33.0, 4.0, 9.0, 7.0, 33.0, 7.0, 45.0, 38.0, 46.0, 46.0, 49.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 58.0, 1.0, 53.0, 37.0, 44.0, 38.0, 5.0, 7.0]",0,37,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,13,"[0, 3, 2, 0, 0]","[0, 2, 2, 0, 0]"
6,2,50,10,11,"[50.0, 37.0, 3.0, 1.0, 43.0, 9.0, 3.0, 48.0, 36.0, 51.0, 37.0, 38.0, 46.0, 5.0, 17.0, 44.0, 52.0, 22.0, 8.0, 31.0, 38.0, 35.0, 9.0, 49.0, 1.0, 33.0, 4.0, 9.0, 7.0, 33.0, 7.0, 43.0, 36.0, 44.0, 44.0, 47.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 35.0, 44.0, 38.0, 5.0, 7.0]",0,32,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,13,"[0, 3, 2, 0, 0]","[0, 2, 2, 0, 0]"
7,2,50,4,11,"[48.0, 44.5, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 5.0, 24.5, 44.0, 50.0, 29.5, 8.0, 31.0, 36.0, 33.0, 9.0, 49.0, 1.0, 33.0, 4.0, 9.0, 7.0, 33.0, 7.0, 41.0, 34.0, 42.0, 44.0, 45.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 33.0, 44.0, 38.0, 5.0, 7.0]",0,26,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,13,"[0, 3, 2, 0, 0]","[0, 2, 2, 0, 0]"
8,1,50,5,11,"[46.0, 44.5, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 5.0, 32.0, 44.0, 48.0, 37.0, 8.0, 31.0, 36.0, 33.0, 9.0, 49.0, 1.0, 33.0, 4.0, 9.0, 7.0, 33.0, 7.0, 41.0, 34.0, 42.0, 44.0, 43.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 31.0, 44.0, 38.0, 5.0, 7.0]",0,26,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,12,"[0, 3, 2, 0, 0]","[0, 2, 2, 0, 0]"
9,2,50,5,10,"[44.0, 34.5, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 12.5, 39.5, 44.0, 46.0, 44.5, 8.0, 31.0, 36.0, 33.0, 9.0, 49.0, 8.5, 33.0, 4.0, 9.0, 7.0, 33.0, 7.0, 41.0, 34.0, 42.0, 44.0, 41.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 29.0, 44.0, 38.0, 5.0, 7.0]",0,26,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,12,"[0, 2, 2, 0, 0]","[0, 1, 2, 0, 0]"
